id,nome_filme,diretor,ano_oscar,sinopse
1,Parasita,Bong Joon-ho,2020,"Uma família pobre coreana se infiltra na vida de uma família rica, revelando tensões sociais e segredos obscuros em uma crítica feroz à desigualdade."
2,O Discurso do Rei,Tom Hooper,2011,"O rei George VI luta contra a gagueira com a ajuda de um terapeuta excêntrico, enquanto assume o trono e inspira o país na Segunda Guerra Mundial."
3,Gladiador,Ridley Scott,2001,"Um general romano é traído, se torna escravo e busca vingança como gladiador contra o imperador que destruiu sua família."
4,Titanic,James Cameron,1998,"Romance trágico entre uma jovem da alta sociedade e um artista pobre a bordo do infame navio Titanic."
5,O Senhor dos Anéis: O Retorno do Rei,Peter Jackson,2004,"A jornada épica para destruir o Um Anel chega ao clímax enquanto a Terra Média enfrenta sua batalha final contra Sauron."
6,12 Anos de Escravidão,Steve McQueen,2014,"Um homem negro livre é sequestrado e vendido como escravo nos EUA do século XIX, lutando por sua liberdade e dignidade."
7,Spotlight – Segredos Revelados,Tom McCarthy,2016,"Jornalistas investigam abusos sexuais sistemáticos dentro da Igreja Católica em Boston, revelando um escândalo global."
8,Quem Quer Ser um Milionário?,Danny Boyle,2009,"Um jovem indiano órfão participa de um programa de TV e surpreende a todos com seu conhecimento, enquanto revela sua dura trajetória de vida."
9,O Artista,Michel Hazanavicius,2012,"Um astro do cinema mudo enfrenta o declínio de sua carreira com a chegada do cinema falado, em uma homenagem nostálgica a Hollywood."
10,Forrest Gump,Robert Zemeckis,1995,"A vida extraordinária de um homem simples que, sem perceber, influencia momentos cruciais da história dos EUA."
11,Moonlight: Sob a Luz do Luar,Barry Jenkins,2017,"A vida de um jovem negro em Miami é retratada em três fases, explorando sua identidade, sexualidade e lutas internas."
12,No Ritmo do Coração (CODA),Sian Heder,2022,"Uma adolescente ouvinte filha de pais surdos descobre seu talento para a música e enfrenta o dilema entre seguir sua paixão ou ajudar sua família."
13,Birdman ou (A Inesperada Virtude da Ignorância),Alejandro G. Iñárritu,2015,"Um ator em decadência, famoso por interpretar um super-herói, tenta recuperar sua carreira montando uma peça na Broadway."
14,Green Book – O Guia,Peter Farrelly,2019,"Um pianista negro e seu motorista branco enfrentam o racismo no sul dos EUA durante uma turnê nos anos 1960, construindo uma improvável amizade."
15,Chicago,Rob Marshall,2003,"Duas assassinas na década de 1920 buscam fama e liberdade em meio a julgamentos espetaculares e números musicais deslumbrantes."
